MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
Madrid 520 88
New York City 520 31
Madrid 521 86
Torino 521 69
New York City 521 36
Madrid 522 76
Torino 522 67
New York City 522 27
Madrid 523 77
Torino 523 68
New York City 523 23
Madrid 524 59
Torino 524 40
New York City 524 18
Torino 525 41
Madrid 525 62
New York City 525 26
Madrid 526 60
New York City 526 16
Torino 526 47
Madrid 527 61
Torino 527 31
New York City 527 14
Torino 528 23
Madrid 528 49
New York City 528 20
Madrid 529 58
Torino 529 35
New York City 529 16
Madrid 530 51
New York City 530 17
Torino 530 35
New York City 531 18
Madrid 531 27
Torino 531 33
New York City 532 16
Madrid 532 38
Torino 532 28
Madrid 533 34
Torino 533 25
New York City 533 21
Madrid 534 27
Torino 534 19
New York City 534 13
New York City 535 12
Madrid 535 38
Torino 535 18
Madrid 536 25
Torino 536 23
New York City 536 13
Madrid 537 19
Torino 537 24
New York City 537 13
New York City 538 5
Madrid 538 22
Torino 538 21
New York City 539 6
Madrid 539 25
Torino 539 27
Madrid 540 18
Torino 540 29
New York City 540 9
New York City 541 8
Madrid 541 27
Torino 541 20
Madrid 542 25
New York City 542 11
Torino 542 20
Madrid 543 29
New York City 543 5
Torino 543 15
Torino 544 11
Madrid 544 18
New York City 544 9
New York City 545 9
Madrid 545 28
Torino 545 16
Madrid 546 11
Torino 546 12
New York City 546 8
New York City 547 6
Madrid 547 27
Torino 547 19
Madrid 548 30
New York City 548 10
Torino 548 14
Madrid 549 29
Torino 549 25
New York City 549 5
New York City 550 3
Madrid 550 31
Torino 550 26
New York City 551 4
Madrid 551 23
Torino 551 19
Madrid 552 22
Torino 552 8
New York City 552 8
New York City 553 2
Madrid 553 20
Torino 553 21
Madrid 554 36
Torino 554 20
New York City 554 10
Torino 555 18
New York City 555 7
Madrid 555 31
Madrid 556 46
Torino 556 22
New York City 556 10
Madrid 557 56
Torino 557 28
New York City 557 10
New York City 558 19
Madrid 558 53
Torino 558 23
Madrid 559 68
New York City 559 12
Torino 559 36
Madrid 560 58
Torino 560 31
New York City 560 22
Madrid 561 54
New York City 561 19
Torino 561 64
Madrid 562 83
New York City 562 21
Torino 562 50
Madrid 563 101
New York City 563 29
Torino 563 78
Madrid 564 91
Torino 564 67
New York City 564 25
Madrid 565 93
New York City 565 26
Torino 565 56
Madrid 566 88
Torino 566 48
New York City 566 19
Madrid 567 88
New York City 567 26
Torino 567 55
Madrid 568 99
New York City 568 18
Torino 568 65
Madrid 569 102
New York City 569 20
Torino 569 59
New York City 570 28
Madrid 570 76
Torino 570 67
Madrid 571 82
Torino 571 61
New York City 571 27
Madrid 572 57
Torino 572 48
New York City 572 15
Madrid 573 60
New York City 573 23
Torino 573 41
Madrid 574 57
Torino 574 32
New York City 574 21
New York City 575 30
Madrid 575 49
Torino 575 49
Madrid 576 61
Torino 576 32
New York City 576 34
Torino 577 27
Madrid 577 40
New York City 577 14
Torino 578 33
Madrid 578 38
New York City 578 21
Torino 579 28
Madrid 579 35
New York City 579 29
Madrid 580 55
Torino 580 46
New York City 580 16
Torino 581 31
Madrid 581 35
New York City 581 15
Madrid 582 42
Torino 582 24
New York City 582 10
New York City 583 12
Madrid 583 50
Torino 583 22
Madrid 584 40
Torino 584 25
New York City 584 15
New York City 585 12
Madrid 585 34
Torino 585 9
Madrid 586 20
Torino 586 22
New York City 586 10
New York City 587 14
Madrid 587 24
Torino 587 16
Torino 588 17
Madrid 588 28
New York City 588 10
Madrid 589 28
Torino 589 21
New York City 589 9
Madrid 590 40
Torino 590 25
New York City 590 17
Torino 591 19
Madrid 591 24
New York City 591 7
Madrid 592 40
Torino 592 18
New York City 592 7
Torino 593 15
Madrid 593 19
New York City 593 14
Torino 594 19
Madrid 594 24
New York City 594 14
Madrid 595 14
Torino 595 17
New York City 595 5
New York City 596 6
Madrid 596 19
Torino 596 21
Madrid 597 35
Torino 597 13
New York City 597 11
Madrid 598 25
Torino 598 15
New York City 598 10
New York City 599 9
Madrid 599 31
Torino 599 22
Madrid 600 35
New York City 600 5
Torino 600 14
Madrid 601 26
Torino 601 23
New York City 601 11
Madrid 602 39
Torino 602 24
New York City 602 13
Madrid 603 42
Torino 603 32
New York City 603 17
Torino 604 31
Madrid 604 53
New York City 604 7
Madrid 605 48
Torino 605 35
New York City 605 19
Madrid 606 68
New York City 606 19
Torino 606 43
Madrid 607 69
New York City 607 25
Torino 607 45
Madrid 608 64
Torino 608 52
New York City 608 18
Madrid 609 92
Torino 609 60
New York City 609 23
Madrid 610 88
New York City 610 26
Torino 610 51
Madrid 611 90
Torino 611 44
New York City 611 21
Madrid 612 94
Torino 612 70
New York City 612 30
Madrid 613 86
Torino 613 69
New York City 613 39
Madrid 614 108
New York City 614 26
Torino 614 79
Madrid 615 91
Torino 615 69
New York City 615 23
