ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
7570457,1,2,2,2,T000,8,Q001,1,02/02/2017 18:30,Q009,1,02/02/2017 19:00,1,1,6,,,1,,Q001,1,02/02/2017 18:50,,,,0.985619648
7570458,1,1,1,2,T000,1,Q017,1,02/02/2017 08:00,Q006,1,02/02/2017 08:45,1,6,,,,1,,,,,,,,0.774874289
7570458,1,2,1,2,T000,8,Q006,1,02/02/2017 21:00,Q017,1,02/02/2017 22:00,1,6,,,,1,,,,,,,,0.774874289
7570463,1,1,1,2,T000,1,Q010,1,02/02/2017 06:00,Q017,1,02/02/2017 06:25,1,6,,,,1,,,,,,,,0.992211672
7570463,1,2,1,2,T000,8,Q017,1,02/02/2017 20:30,Q010,1,02/02/2017 21:00,1,6,,,,1,,,,,,,,0.992211672
7570479,1,1,2,3,T000,1,Q017,1,02/02/2017 07:45,Q017,1,02/02/2017 08:00,1,6,,,,1,,,,,,,,0.767403618
7570479,1,2,2,3,T000,8,Q017,1,02/02/2017 12:15,Q017,1,02/02/2017 12:30,1,6,,,,1,,,,,,,,0.767403618
7570479,2,1,2,3,T000,4,Q017,1,02/02/2017 15:15,Q001,1,02/02/2017 15:30,1,6,,,,1,,,,,,,,0.767403618
7570479,2,2,2,3,T000,8,Q001,1,02/02/2017 17:15,Q017,1,02/02/2017 17:30,1,6,,,,1,,,,,,,,0.767403618
7570481,2,1,2,2,T000,4,Q013,1,02/02/2017 17:15,Q013,1,02/02/2017 17:25,2,,,,,,,,,,,,,0.995280995
7570481,2,2,2,2,T000,8,Q013,1,02/02/2017 17:55,Q013,1,02/02/2017 18:00,2,,,,,,,,,,,,,0.995280995
7570482,1,1,1,2,T000,1,Q001,1,02/02/2017 08:00,Q021,1,02/02/2017 08:45,1,1,6,,,1,,Q001,1,02/02/2017 08:30,,,,1.000964785
7570482,1,2,1,2,T000,4,Q021,1,02/02/2017 12:00,Q001,1,02/02/2017 12:45,2,,,,,,,,,,,,,1.000964785
7570482,1,3,1,2,T000,1,Q001,1,02/02/2017 13:30,Q021,1,02/02/2017 14:00,1,6,,,,1,,,,,,,,1.000964785
7570482,1,4,1,2,T000,2,Q021,1,02/02/2017 16:45,Q021,1,02/02/2017 17:05,1,6,,,,1,,,,,,,,1.000964785
7570482,1,5,1,2,T000,7,Q021,1,02/02/2017 19:00,Q021,1,02/02/2017 19:07,2,,,,,,,,,,,,,1.000964785
7570482,1,6,1,2,T000,7,Q021,1,02/02/2017 20:00,Q021,1,02/02/2017 20:07,2,,,,,,,,,,,,,1.000964785
7570482,1,7,1,2,T000,8,Q021,1,02/02/2017 21:15,Q001,1,02/02/2017 22:00,1,6,,,,1,,,,,,,,1.000964785
7570484,1,1,2,3,T000,4,Q019,1,02/02/2017 09:00,Q001,1,02/02/2017 09:20,1,6,,,,1,,,,,,,,0.954907162
7570484,1,2,2,3,T000,8,Q001,1,02/02/2017 12:00,Q019,1,02/02/2017 12:15,1,6,,,,1,,,,,,,,0.954907162
7570489,1,1,2,2,T000,1,Q009,1,02/02/2017 07:45,Q010,1,02/02/2017 08:15,1,6,,,,1,,,,,,,,0.985619648
7570489,1,2,2,2,T000,8,Q010,1,02/02/2017 11:30,Q009,1,02/02/2017 12:00,1,6,,,,1,,,,,,,,0.985619648
7570490,1,1,1,4,T000,7,Q001,1,02/02/2017 09:00,Q001,1,02/02/2017 09:10,2,,,,,,,,,,,,,0.974387528
7570490,1,2,1,4,T000,8,Q001,1,02/02/2017 09:20,Q001,1,02/02/2017 09:30,2,,,,,,,,,,,,,0.974387528
7570490,2,1,1,4,T000,6,Q001,1,02/02/2017 12:00,Q003,1,02/02/2017 12:20,1,3,,,0,,,,,,,,,0.974387528
7570490,2,2,1,4,T000,8,Q003,1,02/02/2017 13:10,Q001,1,02/02/2017 13:30,1,3,,,0,,,,,,,,,0.974387528
7570491,2,1,1,2,T000,7,Q005,1,02/02/2017 20:30,Q006,1,02/02/2017 20:40,1,19,,,,,,,,,,,,1.003199862
7570491,2,2,1,2,T000,8,Q006,1,02/02/2017 21:10,Q005,1,02/02/2017 21:30,2,,,,,,,,,,,,,1.003199862
7570492,2,1,2,2,T000,5,Q006,1,02/02/2017 16:00,Q005,1,02/02/2017 16:15,2,,,,,,,,,,,,,0.96636313
7570492,2,2,2,2,T000,5,Q005,1,02/02/2017 16:20,Q006,1,02/02/2017 16:30,2,,,,,,,,,,,,,0.96636313
