SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
weekdays,['1'],['1'],['2'],1.97855499443,1.97648628549,1.97737677756
weekdays,['1'],['1'],['7'],1.445152463,1.43029904556,1.42930297948
weekdays,['1'],['1'],['3'],1.38301186718,1.38552437366,1.38188908133
weekdays,['1'],['1'],['9'],1.88933103738,1.88092217507,1.88454183614
weekdays,['1'],['1'],['11'],1.89775276021,1.87072925325,1.88236173486
weekdays,['1'],['1'],['6'],1.99123098962,1.99324117415,1.99237587438
weekdays,['1'],['1'],['10'],1.98335913873,1.98672295376,1.98527497306
weekdays,['1'],['1'],['8'],1.15861835348,1.18148450137,1.16361690135
weekdays,['1'],['4'],['1'],1.9087791396,1.84596876504,1.87300598594
weekdays,['1'],['4'],['4'],1.18931300081,1.16960687162,1.16721821542
weekdays,['1'],['4'],['5'],1.71962319302,1.69323242487,1.69535171263
weekdays,['1'],['4'],['2'],1.85561520541,1.80760313225,1.82827030764
weekdays,['1'],['4'],['7'],1.3041395489,1.2602249608,1.27534684671
weekdays,['1'],['4'],['3'],1.98668731098,1.98320136489,1.98470191787
weekdays,['1'],['4'],['9'],1.64735844415,1.6567499083,1.65142183331
weekdays,['1'],['4'],['11'],1.99464598376,1.99262872392,1.99349706932
weekdays,['1'],['4'],['6'],1.61862991498,1.59676504024,1.60588478877
weekdays,['1'],['4'],['10'],1.95288465713,1.91935342753,1.93378720966
weekdays,['1'],['4'],['8'],1.08150210777,1.07057483713,1.06015445247
weekdays,['1'],['3'],['1'],1.22460975291,1.18773574205,1.19857343653
weekdays,['1'],['3'],['4'],1.13755099834,1.11288028389,1.11492623371
weekdays,['1'],['3'],['5'],1.56653772009,1.594869028,1.58208963746
weekdays,['1'],['3'],['2'],1.58726778862,1.56688621789,1.57565962569
weekdays,['1'],['3'],['7'],1.33248519896,1.24250830166,1.27804501179
weekdays,['1'],['3'],['3'],1.99308318984,1.9910757251,1.99193985412
weekdays,['1'],['3'],['9'],1.69702056232,1.64296857448,1.66618289181
weekdays,['1'],['3'],['11'],1.98231727611,1.98298263266,1.98269622469
weekdays,['1'],['3'],['6'],1.70092754714,1.70597693815,1.69711936457
