AREA,HOUR,TOTAL,LONG,LAT
819,23,1,7.637173335,45.05814489
820,3,1,7.643527088,45.05814489
820,6,1,7.643527088,45.05814489
820,10,1,7.643527088,45.05814489
820,12,2,7.643527088,45.05814489
820,14,1,7.643527088,45.05814489
820,15,2,7.643527088,45.05814489
820,16,2,7.643527088,45.05814489
820,20,3,7.643527088,45.05814489
820,21,1,7.643527088,45.05814489
821,1,1,7.649880842,45.05814489
821,7,1,7.649880842,45.05814489
821,9,1,7.649880842,45.05814489
821,12,1,7.649880842,45.05814489
821,13,1,7.649880842,45.05814489
821,16,2,7.649880842,45.05814489
821,17,1,7.649880842,45.05814489
821,18,1,7.649880842,45.05814489
821,19,3,7.649880842,45.05814489
821,20,1,7.649880842,45.05814489
821,22,1,7.649880842,45.05814489
821,23,3,7.649880842,45.05814489
822,0,1,7.656234595,45.05814489
822,2,1,7.656234595,45.05814489
822,6,1,7.656234595,45.05814489
822,10,1,7.656234595,45.05814489
822,12,3,7.656234595,45.05814489
822,13,3,7.656234595,45.05814489
822,14,1,7.656234595,45.05814489
822,16,1,7.656234595,45.05814489
822,17,1,7.656234595,45.05814489
822,18,3,7.656234595,45.05814489
822,19,2,7.656234595,45.05814489
822,20,7,7.656234595,45.05814489
823,0,2,7.662588348,45.05814489
823,2,1,7.662588348,45.05814489
823,6,2,7.662588348,45.05814489
823,9,1,7.662588348,45.05814489
823,11,2,7.662588348,45.05814489
823,12,3,7.662588348,45.05814489
823,16,1,7.662588348,45.05814489
823,18,1,7.662588348,45.05814489
823,19,3,7.662588348,45.05814489
823,21,1,7.662588348,45.05814489
824,0,1,7.668942101,45.05814489
824,1,1,7.668942101,45.05814489
824,2,1,7.668942101,45.05814489
824,4,2,7.668942101,45.05814489
824,10,2,7.668942101,45.05814489
824,11,2,7.668942101,45.05814489
824,12,3,7.668942101,45.05814489
824,13,2,7.668942101,45.05814489
824,15,2,7.668942101,45.05814489
824,17,5,7.668942101,45.05814489
824,18,1,7.668942101,45.05814489
824,19,3,7.668942101,45.05814489
824,20,3,7.668942101,45.05814489
824,21,1,7.668942101,45.05814489
825,0,2,7.675295855,45.05814489
825,2,1,7.675295855,45.05814489
825,4,1,7.675295855,45.05814489
825,7,2,7.675295855,45.05814489
825,9,4,7.675295855,45.05814489
825,10,6,7.675295855,45.05814489
825,11,5,7.675295855,45.05814489
825,12,2,7.675295855,45.05814489
825,14,1,7.675295855,45.05814489
825,15,2,7.675295855,45.05814489
825,16,7,7.675295855,45.05814489
825,17,3,7.675295855,45.05814489
825,18,7,7.675295855,45.05814489
825,19,3,7.675295855,45.05814489
825,20,2,7.675295855,45.05814489
825,21,5,7.675295855,45.05814489
825,22,4,7.675295855,45.05814489
825,23,2,7.675295855,45.05814489
826,0,3,7.681649608,45.05814489
826,1,2,7.681649608,45.05814489
826,2,2,7.681649608,45.05814489
826,4,1,7.681649608,45.05814489
826,5,2,7.681649608,45.05814489
826,8,3,7.681649608,45.05814489
826,9,4,7.681649608,45.05814489
826,10,6,7.681649608,45.05814489
826,11,1,7.681649608,45.05814489
826,12,3,7.681649608,45.05814489
826,13,3,7.681649608,45.05814489
826,15,7,7.681649608,45.05814489
826,16,2,7.681649608,45.05814489
826,17,11,7.681649608,45.05814489
826,18,7,7.681649608,45.05814489
826,19,2,7.681649608,45.05814489
826,20,1,7.681649608,45.05814489
826,21,4,7.681649608,45.05814489
826,22,1,7.681649608,45.05814489
826,23,5,7.681649608,45.05814489
827,0,1,7.688003361,45.05814489
827,3,2,7.688003361,45.05814489
827,8,1,7.688003361,45.05814489
827,10,2,7.688003361,45.05814489
827,11,1,7.688003361,45.05814489
827,12,3,7.688003361,45.05814489
827,13,2,7.688003361,45.05814489
827,14,1,7.688003361,45.05814489
827,15,2,7.688003361,45.05814489
827,16,2,7.688003361,45.05814489
827,18,2,7.688003361,45.05814489
827,19,3,7.688003361,45.05814489
827,20,1,7.688003361,45.05814489
827,21,1,7.688003361,45.05814489
827,23,1,7.688003361,45.05814489
828,0,1,7.694357114,45.05814489
828,1,1,7.694357114,45.05814489
828,2,2,7.694357114,45.05814489
828,5,1,7.694357114,45.05814489
828,9,1,7.694357114,45.05814489
828,10,1,7.694357114,45.05814489
828,11,2,7.694357114,45.05814489
828,13,1,7.694357114,45.05814489
828,15,2,7.694357114,45.05814489
828,16,4,7.694357114,45.05814489
828,17,1,7.694357114,45.05814489
828,18,3,7.694357114,45.05814489
828,19,1,7.694357114,45.05814489
828,20,1,7.694357114,45.05814489
828,21,2,7.694357114,45.05814489
828,22,2,7.694357114,45.05814489
828,23,3,7.694357114,45.05814489
829,11,2,7.700710868,45.05814489
829,13,1,7.700710868,45.05814489
829,14,1,7.700710868,45.05814489
829,15,1,7.700710868,45.05814489
829,16,3,7.700710868,45.05814489
829,18,2,7.700710868,45.05814489
829,19,3,7.700710868,45.05814489
829,20,1,7.700710868,45.05814489
829,22,1,7.700710868,45.05814489
830,0,2,7.707064621,45.05814489
830,1,4,7.707064621,45.05814489
830,2,4,7.707064621,45.05814489
830,4,2,7.707064621,45.05814489
830,7,2,7.707064621,45.05814489
830,13,1,7.707064621,45.05814489
830,15,3,7.707064621,45.05814489
831,13,1,7.713418374,45.05814489
855,10,1,7.611758322,45.06264009
856,5,1,7.618112075,45.06264009
856,13,2,7.618112075,45.06264009
856,14,1,7.618112075,45.06264009
856,15,2,7.618112075,45.06264009
856,17,1,7.618112075,45.06264009
857,12,2,7.624465829,45.06264009
857,15,1,7.624465829,45.06264009
857,16,1,7.624465829,45.06264009
858,0,1,7.630819582,45.06264009
858,1,1,7.630819582,45.06264009
858,4,1,7.630819582,45.06264009
858,7,1,7.630819582,45.06264009
858,9,2,7.630819582,45.06264009
858,10,2,7.630819582,45.06264009
858,11,1,7.630819582,45.06264009
858,12,2,7.630819582,45.06264009
858,13,1,7.630819582,45.06264009
858,14,2,7.630819582,45.06264009
858,17,2,7.630819582,45.06264009
858,20,5,7.630819582,45.06264009
858,21,2,7.630819582,45.06264009
859,6,1,7.637173335,45.06264009
859,11,3,7.637173335,45.06264009
859,12,1,7.637173335,45.06264009
859,19,1,7.637173335,45.06264009
859,20,2,7.637173335,45.06264009
860,0,1,7.643527088,45.06264009
860,1,2,7.643527088,45.06264009
860,2,4,7.643527088,45.06264009
860,3,1,7.643527088,45.06264009
860,6,1,7.643527088,45.06264009
860,8,1,7.643527088,45.06264009
