MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-30T13:50:35.122+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
Madrid 383 418531
Madrid 323 418532
Madrid 295 418533
Madrid 278 418534
Madrid 212 418535
Madrid 140 418536
Madrid 121 418537
Madrid 93 418538
Madrid 49 418539
Madrid 57 418540
Madrid 56 418541
Madrid 140 418542
Madrid 188 418543
Madrid 251 418544
Madrid 275 418545
Madrid 307 418546
Madrid 379 418547
Madrid 367 418548
Madrid 284 418549
Madrid 256 418550
Madrid 269 418551
Madrid 289 418552
Madrid 338 418553
Madrid 388 418554
Madrid 343 418555
Madrid 277 418556
Madrid 278 418557
NYC 54 417844
NYC 28 417845
NYC 17 417846
NYC 12 417847
NYC 18 417848
NYC 12 417849
NYC 20 417850
NYC 45 417851
NYC 65 417852
NYC 61 417853
NYC 68 417854
NYC 72 417855
NYC 64 417856
NYC 58 417857
NYC 81 417858
NYC 87 417859
NYC 96 417860
NYC 106 417861
NYC 112 417862
NYC 127 417863
NYC 109 417864
NYC 113 417865
NYC 82 417866
NYC 5 417867
NYC 1 417945
NYC 31 417946
NYC 48 417947
NYC 53 417948
NYC 44 417949
NYC 54 417950
NYC 54 417951
NYC 54 417952
NYC 46 417953
NYC 45 417954
NYC 52 417955
NYC 48 417956
NYC 84 417957
NYC 103 417958
NYC 139 417959
NYC 103 417960
NYC 82 417961
NYC 72 417962
NYC 64 417963
NYC 22 417964
NYC 16 417965
NYC 10 417966
NYC 8 417967
NYC 4 417968
NYC 10 417969
NYC 22 417970
NYC 41 417971
NYC 80 417972
NYC 55 417973
NYC 60 417974
NYC 55 417975
NYC 31 417976
NYC 54 417977
NYC 57 417978
NYC 67 417979
NYC 66 417980
NYC 91 417981
NYC 121 417982
NYC 132 417983
NYC 118 417984
NYC 99 417985
NYC 71 417986
NYC 58 417987
NYC 41 417988
NYC 26 417989
NYC 16 417990
NYC 6 417991
NYC 8 417992
NYC 13 417993
NYC 29 417994
NYC 49 417995
NYC 51 417996
NYC 57 417997
NYC 44 417998
NYC 45 417999
NYC 40 418000
NYC 38 418001
NYC 57 418002
NYC 68 418003
NYC 46 418004
NYC 77 418005
NYC 101 418006
NYC 136 418007
NYC 129 418008
NYC 91 418009
NYC 95 418010
NYC 63 418011
NYC 61 418012
NYC 28 418013
NYC 15 418014
NYC 7 418015
NYC 12 418016
NYC 12 418017
NYC 32 418018
NYC 53 418019
NYC 48 418020
NYC 58 418021
NYC 59 418022
NYC 35 418023
NYC 49 418024
NYC 53 418025
NYC 75 418026
NYC 77 418027
NYC 83 418028
NYC 91 418029
NYC 124 418030
NYC 127 418031
NYC 143 418032
NYC 123 418033
NYC 121 418034
NYC 80 418035
NYC 70 418036
NYC 57 418037
NYC 27 418038
NYC 14 418039
NYC 12 418040
NYC 13 418041
NYC 12 418042
NYC 44 418043
NYC 65 418044
NYC 109 418045
NYC 109 418046
NYC 112 418047
NYC 128 418048
NYC 137 418049
NYC 139 418050
NYC 133 418051
NYC 118 418052
NYC 136 418053
